day_of_year,solar_flux_w_m2,eclipse_duration_min,eclipse_fraction,beta_angle_deg,incidence_angle_deg,t_sunlit_c,t_eclipse_min_c,t_orbital_avg_c
1,1407.622321624265,0.0,0.0,-23.00737256814665,66.99262743185336,40.694124841190046,40.694124841190046,40.694124841190046
2,1407.6435554627913,0.0,0.0,-22.925964831095023,67.07403516890498,40.695305519799774,40.695305519799774,40.695305519799774
3,1407.6506342139783,0.0,0.0,-22.837772932206573,67.16222706779344,40.695699121136386,40.695699121136386,40.695699121136386
4,1407.6435554627913,0.0,0.0,-22.742822968883043,67.25717703111697,40.695305519799774,40.695305519799774,40.695305519799774
5,1407.622321624265,0.0,0.0,-22.641143038346186,67.35885696165383,40.694124841190046,40.694124841190046,40.694124841190046
6,1407.5869399423775,0.0,0.0,-22.53276322932332,67.46723677067669,40.692157461459374,40.692157461459374,40.692157461459374
7,1407.5374224866748,0.0,0.0,-22.417715613143596,67.5822843868564,40.68940400736727,40.68940400736727,40.68940400736727
8,1407.4737861466426,0.0,0.0,-22.296034234247575,67.70396576575243,40.68586535603953,40.68586535603953,40.68586535603953
9,1407.3960526238402,0.0,0.0,-22.167755100112945,67.83224489988706,40.68154263463106,40.68154263463106,40.68154263463106
10,1407.3042484217922,0.0,0.0,-22.032916170599307,67.96708382940069,40.676437219892705,40.676437219892705,40.676437219892705
11,1407.198404833654,0.0,0.0,-21.891557346715253,68.10844265328474,40.670550737641975,40.670550737641975,40.670550737641975
12,1407.078557927656,0.0,0.0,-21.743720458811016,68.25627954118899,40.66388506213906,40.66388506213906,40.66388506213906
13,1406.9447485303426,0.0,0.0,-21.589449254200193,68.41055074579981,40.65644231536692,40.65644231536692,40.65644231536692
14,1406.797022207614,0.0,0.0,-21.428789384214213,68.57121061578579,40.648224866217504,40.648224866217504,40.648224866217504
15,1406.6354292435924,0.0,0.0,-21.261788390693376,68.73821160930663,40.639235329583414,40.639235329583414,40.639235329583414
16,1406.460024617325,0.0,0.0,-21.088495691918446,68.91150430808156,40.62947656535607,40.62947656535607,40.62947656535607
17,1406.270867977343,0.0,0.0,-20.908962567987007,69.091037432013,40.61895167733104,40.61895167733104,40.61895167733104
18,1406.068023614099,0.0,0.0,-20.723242145638846,69.27675785436116,40.60766401202039,40.60766401202039,40.60766401202039
19,1405.8515604303054,0.0,0.0,-20.531389382534883,69.46861061746513,40.59561715737476,40.59561715737476,40.59561715737476
20,1405.6215519091904,0.0,0.0,-20.33346105099433,69.66653894900568,40.582814941412835,40.582814941412835,40.582814941412835
21,1405.3780760807074,0.0,0.0,-20.12951572119486,69.87048427880515,40.56926143076197,40.56926143076197,40.56926143076197
22,1405.1212154857158,0.0,0.0,-19.919613743840717,70.08038625615929,40.55496092910926,40.55496092910926,40.55496092910926
23,1404.8510571381676,0.0,0.0,-19.70381723230401,70.29618276769598,40.53991797556421,40.53991797556421,40.53991797556421
24,1404.5676924853249,0.0,0.0,-19.482190044244327,70.51780995575567,40.52413734293407,40.52413734293407,40.52413734293407
25,1404.271217366042,0.0,0.0,-19.25479776271225,70.74520223728776,40.50762403591318,40.50762403591318,40.50762403591318
26,1403.9617319671443,0.0,0.0,-19.02170767674228,70.97829232325772,40.490383289186525,40.490383289186525,40.490383289186525
27,1403.639340777938,0.0,0.0,-18.78298876144091,71.2170112385591,40.47242056544957,40.47242056544957,40.47242056544957
28,1403.3041525428862,0.0,0.0,-18.538711657575806,71.4612883424242,40.453741553344685,40.453741553344685,40.453741553344685
29,1402.956280212487,0.0,0.0,-18.28894865067203,71.71105134932797,40.434352165316454,40.434352165316454,40.434352165316454
30,1402.595840892392,0.0,0.0,-18.03377364962163,71.96622635037836,40.41425853538533,40.41425853538533,40.41425853538533
31,1402.2229557908051,0.0,0.0,-17.77326216481279,72.22673783518721,40.39346701684315,40.39346701684315,40.39346701684315
